"Field Name","Value"
"project_name","Hyderabad Pharma City Greenfield Pipeline"
"state","Telangana"
"district","Hyderabad"
"project_type","PIPELINE"
"land_area","88"
"affected_families","180"
"current_stage","Initial Assessment / SIA"
"next_stage","Notification"
"snapshot_date","2026-07-10"
"latitude","17.385"
"longitude","78.4867"
"approvals_required","8"
"approvals_completed","3"
"approval_process_start_date","2026-02-01"
"approval_expected_completion_date","2026-11-30"
"oldest_pending_approval_days","60"
"legal_cases_total","1"
"legal_cases_resolved","0"
"disputed_land_area","4.5"
"oldest_pending_case_days","45"
"compensation_total_amount","48000000"
"compensation_paid_amount","0"
"beneficiaries_eligible","175"
"beneficiaries_compensated","0"
"compensation_expected_completion_date","2027-04-30"
"documents_required","180"
"documents_submitted","65"
"documents_verified","20"
"notifications_required","3"
"notifications_issued","1"
"parcels_total","240"
"parcels_disputed","12"
"ownership_claims_total","245"
"ownership_conflicts_pending","10"
"ownership_conflicts_resolved","2"
"rr_families_required","40"
"rr_families_completed","0"
"land_required_for_possession","88"
"land_acquired_for_possession","0"
"possession_status","NOT_STARTED"
"stakeholder_requests_raised","15"
"stakeholder_responses_received","6"
"average_response_time_days","18.5"
"departments_involved","4"
"coordination_requests_raised","10"
"coordination_requests_resolved","3"
